# OpenNGC (https://github.com/mattiaverga/OpenNGC), CC-BY-SA-4.0
# id	common	type	ra_hours	dec_deg	mag	size_arcmin	alias
IC 31		GX	0.573508	12.268167	15.62	1.16	
IC 310		GX	3.278606	41.324972	12.71	1.5	
IC 3100		GX	12.284875	12.289833	15.09	1.41	
IC 3101		GX	12.288792	11.943472	15.75	0.63	
IC 3103		STAR	12.291236	9.360444	14.56	0.0	
IC 3104		GX	12.312794	-79.726056	13.66	2.4	
IC 3105		GX	12.292708	12.388111	14.81	1.55	
IC 3106		STAR	12.296058	9.613139	99.0	0.0	
IC 3107		GX	12.296369	10.844639	14.3	1.25	
IC 3108		GX	12.295194	13.379917	14.76	0.77	
IC 3109		GX	12.295586	13.171028	14.86	0.67	
IC 311		GX	3.279647	40.003611	15.65	1.0	
IC 3110		GX	12.295789	37.399694	16.39	0.27	
IC 3111		GX	12.297447	8.430278	14.99	0.62	
IC 3112		GX	12.296767	26.030722	15.0	1.14	
IC 3114		STAR	12.299097	9.135389	99.0	0.0	
IC 3116		GX	12.299214	25.076528	16.19	0.45	
IC 3117		STAR	12.301294	9.076528	99.0	0.0	
IC 3118		GX	12.303069	9.499806	14.74	1.29	
IC 3119		GX	12.302356	24.688306	15.4	0.57	
IC 312		GX	3.302392	41.754111	14.64	1.19	
IC 3120		GX	12.304264	13.749139	15.8	0.64	
IC 3121		GX	12.304861	13.257222	99.0	0.5	
IC 3121 NED01		GX	12.304914	13.256444	17.33	0.53	
IC 3121 NED02		GX	12.304822	13.258278	17.5	0.49	
IC 3122		GX	12.30595	25.216806	14.59	1.27	
IC 3123		STAR	12.307664	8.064917	7.26	0.0	
IC 3124		STAR	12.307647	9.588389	99.0	0.0	
IC 3125		STAR	12.307075	24.365111	99.0	0.0	
IC 3126		GX	12.310322	13.815167	16.18	0.5	
IC 3127		GX	12.309786	11.870417	15.3	0.52	
IC 3128		GX	12.311167	11.733611	99.0	1.4	
IC 3128A		GX	12.311631	11.731833	15.0	0.65	
IC 3128B		GX	12.310711	11.735028	18.27	0.33	
IC 3129		STAR	12.312489	9.590667	99.0	0.0	
IC 313		GX	3.349417	41.893833	14.79	1.26	
IC 3130		STAR	12.313778	8.232972	99.0	0.0	
IC 3131		GX	12.314136	7.861889	14.09	1.0	
IC 3133		OTHER	12.315156	7.639667	99.0	0.0	
IC 3134		GX	12.315589	8.961611	14.73	0.8	
IC 3135		GX	12.314606	27.4915	17.05	0.33	
IC 3136		GX	12.315936	6.184389	14.89	1.22	
IC 3137		GX	12.315186	12.470056	16.89	0.67	
IC 3138		GX	12.315611	12.443889	99.0	0.5	
IC 3138 NED01		GX	12.3156	12.445278	16.53	0.44	
IC 3138 NED02		GX	12.315611	12.442111	99.0	0.17	
IC 3139		STAR	12.316878	9.126778	99.0	0.0	
IC 3140		STAR	12.316078	27.129472	99.0	0.0	
IC 3141		GX	12.316233	24.186278	15.34	0.89	
IC 3142		GX	12.317639	13.981389	99.0	1.4	
IC 3142 NED01		GX	12.317217	13.982444	15.39	0.67	
IC 3142 NED02		GX	12.318097	13.980528	15.2	0.86	
IC 3143		GX	12.318164	27.298417	15.63	0.63	
IC 3144		GX	12.319378	25.296972	16.77	0.38	
IC 3145		STAR	12.319581	24.294139	99.0	0.0	
IC 3146		GX	12.320139	25.715028	16.77	0.51	
IC 3147		GX	12.321639	12.017222	99.0	1.0	
IC 3147 NED01		GX	12.321442	12.016194	16.12	0.66	
IC 3147 NED02		GX	12.321853	12.018194	16.17	0.51	
IC 3148		GX	12.322672	7.870333	15.61	0.62	
IC 3149		GX	12.323392	12.301389	15.2	0.64	
IC 315		GX	3.319261	4.038556	15.49	0.68	
IC 3150		GX	12.324581	7.798222	15.44	0.36	
IC 3151		GX	12.3258	9.414222	14.78	0.9	
IC 3152		GX	12.326664	-26.1455	12.43	1.66	
IC 3153		GX	12.3269	5.397806	15.0	0.54	
IC 3154		GX	12.326108	25.585917	15.99	0.61	
IC 3155		GX	12.329253	6.00575	14.42	1.0	
IC 3156		GX	12.328928	9.148583	14.66	0.72	
IC 3157		GX	12.329978	12.421944	15.09	0.96	
IC 3158		STAR	12.330517	9.28975	99.0	0.0	
IC 3159		GX	12.331447	11.674472	16.6	0.5	
IC 316		GX	3.355528	41.930556	99.0	0.8	
IC 316 NED01		GX	3.355542	41.928944	15.24	0.45	
IC 316 NED02		GX	3.355528	41.931917	15.03	1.06	
IC 3160		STAR	12.333292	9.101889	99.0	0.0	
IC 3161		STAR	12.333669	8.999056	99.0	0.0	
IC 3162		STAR	12.334203	8.996972	99.0	0.0	
IC 3163		STAR	12.334931	9.255611	99.0	0.0	
IC 3164		STAR	12.334692	24.955917	99.0	0.0	
IC 3165		GX	12.334658	27.975333	14.75	1.0	
IC 3166		OTHER	12.331667	60.694278	99.0	0.0	
IC 3167		GX	12.33855	9.545361	14.72	1.35	
IC 3168		GX	12.338483	27.920389	15.66	0.72	
IC 3169		GX	12.339275	25.5995	16.57	0.48	
IC 317		GX	3.315419	-12.740194	14.87	0.88	
IC 3170		GX	12.340708	9.42425	14.63	0.58	
IC 3171		GX	12.340017	25.560583	14.63	0.92	
IC 3172		GX	12.340153	27.818778	16.29	0.68	
IC 3173		GX	12.341717	11.340944	15.3	0.72	
IC 3174		GX	12.341536	10.245167	15.25	0.63	
IC 3175		GX	12.342597	9.853417	15.0	0.83	
IC 3176		GX	12.341689	25.515417	16.33	0.67	
IC 3177		OTHER	12.342869	14.127611	99.0	0.0	
IC 3178		STAR	12.343072	26.169306	99.0	0.0	
IC 3179		GX	12.343814	26.165389	16.62	0.32	
IC 318		GX	3.345508	-14.568222	14.72	1.08	
IC 3180		OTHER	12.339928	60.694333	99.0	0.0	
IC 3182		STAR	12.3466	12.730139	99.0	0.0	
IC 3183		STAR	12.346908	6.686722	99.0	0.0	
IC 3184		GX	12.346333	24.915583	15.64	0.77	
IC 3185		GX	12.347967	25.429694	15.9	0.68	
IC 3186		GX	12.348856	24.668583	14.44	0.53	
IC 3187		GX	12.348522	11.161806	15.47	0.69	
IC 3188		GX	12.348639	11.008889	14.81	0.77	
IC 3189		GX	12.348978	25.426528	16.24	0.6	
IC 319		STAR	3.391403	41.416361	99.0	0.0	
IC 3190		STAR	12.350669	9.569778	99.0	0.0	
IC 3191		STAR	12.351431	7.704417	99.0	0.0	
IC 3192		GX	12.351336	11.754611	16.11	0.58	
IC 3193		GX	12.350356	27.898778	15.65	0.98	
IC 3194		GX	12.3525	25.1335	16.37	0.57	
IC 3195		GX	12.354842	25.808278	16.38	0.52	
IC 3196		GX	12.357397	11.757778	16.43	0.53	
IC 3197		STAR	12.357194	25.443889	99.0	0.0	
IC 3198		STAR	12.35865	26.366306	99.0	0.0	
IC 3199		GX	12.362667	10.595639	15.03	1.0	
IC 32		GX	0.583803	-2.141694	16.15	0.62	
IC 320		GX	3.433106	40.789028	15.34	1.12	
IC 3200		GX	12.360331	26.760778	16.46	0.53	
IC 3201		GX	12.361214	25.726	17.05	0.4	
IC 3202		GX	12.362314	27.057111	16.69	0.67	
IC 3203		GX	12.362675	25.884667	15.43	1.31	
IC 3204		GX	12.364008	24.249111	16.79	0.52	
IC 3205		GX	12.36415	26.341	15.55	0.62	
IC 3206		GX	12.364253	26.363583	15.79	0.53	
IC 3207		GX	12.364508	24.354556	16.36	0.79	
IC 3208		GX	12.365439	11.966833	15.96	0.98	
IC 3209		GX	12.368375	11.754722	14.97	1.0	
IC 321		GX	3.408219	-14.985472	14.79	1.03	
IC 3210		GX	12.366939	28.431083	15.38	0.66	
IC 3212		GX	12.367611	28.186	15.53	0.71	
IC 3213		GX	12.368797	23.869611	15.5	0.49	
IC 3214		STAR	12.369197	27.235083	99.0	0.0	
IC 3215		GX	12.36955	26.051944	15.53	1.27	
IC 3216		GX	12.369947	25.286694	16.52	0.52	
IC 3217		GX	12.370297	26.388028	17.53	0.41	
IC 3218		GX	12.372089	6.927917	15.66	0.64	
IC 3219		GX	12.370842	25.951333	16.45	0.84	
IC 322		GX	3.433464	3.680556	15.35	0.76	
IC 3220		GX	12.372664	10.601972	15.95	1.05	
IC 3221		GX	12.372264	25.283778	17.14	0.57	
IC 3222		GX	12.372075	28.831583	15.1	0.59	
IC 3223		OTHER	12.375169	9.48725	99.0	0.0	
IC 3224		GX	12.376642	12.158028	16.3	0.38	
IC 3225		GX	12.377497	6.677056	14.38	0.91	
IC 3226		STAR	12.376375	26.067333	99.0	0.0	
IC 3227		GX	12.376572	24.085139	16.52	0.46	
IC 3228		GX	12.377606	24.330083	16.19	1.11	
IC 3229		GX	12.381333	6.679861	15.25	1.23	
IC 323		OTHER	3.492653	41.855083	99.0	0.0	
IC 3230		GX	12.377689	27.746972	16.41	0.44	
IC 3231		GX	12.378828	24.820472	99.0	0.65	
IC 3232		STAR	12.379942	24.424528	99.0	0.0	
IC 3233		GX	12.381914	12.566778	16.56	0.69	
IC 3234		GX	12.381156	28.112528	16.93	0.42	
IC 3235		GX	12.38275	13.545778	16.55	0.62	
IC 3236		GX	12.383397	10.101222	16.46	0.42	
IC 3237		GX	12.382781	28.494167	15.89	0.47	
IC 3238		GX	12.385106	14.458333	14.67	0.67	
IC 3239		GX	12.385992	11.726	16.16	0.78	
IC 3240		GX	12.385367	10.362278	16.54	0.46	
IC 3241		GX	12.385678	26.905278	16.33	0.67	
IC 3242		GX	12.386233	26.248889	16.48	0.63	
IC 3243		GX	12.386481	27.765694	15.66	0.75	
IC 3244		GX	12.386739	14.388972	15.0	0.77	
IC 3245		OTHER	12.388253	9.129556	99.0	0.0	
IC 3246		GX	12.388097	13.051833	16.32	0.54	
IC 3247		GX	12.387219	28.89375	15.4	1.86	
IC 3248		STAR	12.388022	25.552028	99.0	0.0	
IC 3249		GX	12.388314	25.444667	16.79	0.37	
IC 325		GX	3.513572	-7.046722	15.58	0.83	
IC 3250		STAR	12.388283	25.628806	99.0	0.0	
IC 3251		STAR	12.388581	25.653389	99.0	0.0	
IC 3252		STAR	12.390256	28.618222	99.0	0.0	
IC 3253		GX	12.395894	-34.622194	12.12	3.02	
IC 3255		GX	12.392983	9.648611	14.73	0.6	
IC 3257		OTHER	12.395753	7.253778	99.0	0.0	
IC 3258		GX	12.395686	12.478333	13.3	1.35	
IC 3259		GX	12.396811	7.186833	13.52	1.64	
IC 326		GX	3.510169	-14.425556	15.41	1.13	
IC 3261		GX	12.397917	11.481306	17.21	0.47	
IC 3262		GX	12.396714	27.394278	15.23	0.77	
IC 3263		GX	12.397386	28.1995	14.4	0.6	
IC 3264		GX	12.397764	25.557389	16.72	0.59	
IC 3265		STAR	12.399675	7.803778	99.0	0.0	
IC 3267		GX	12.401536	7.041278	13.42	1.21	
IC 3268		GX	12.402067	6.607472	13.77	1.0	
IC 3269		GX	12.401222	27.434778	16.48	0.75	
IC 327		GX	3.519439	-14.692139	15.21	0.8	
IC 3270		GX	12.401625	27.577889	16.34	0.61	
IC 3271		GX	12.403869	7.952972	14.57	0.79	
IC 3272		GX	12.402586	23.284639	16.81	0.51	
IC 3275		GX	12.405411	10.446333	16.49	0.53	
IC 3276		GX	12.403917	25.818778	16.48	0.57	
IC 3277		OTHER	12.404364	25.564	99.0	0.0	
IC 3278		GX	12.404156	27.420806	99.0	0.9	
IC 3278 NED01		GX	12.403986	27.423472	17.69	0.36	
IC 3278 NED02		GX	12.404183	27.42325	16.71	0.54	
IC 3278 NED03		GX	12.404289	27.418472	16.75	0.43	
IC 3279		STAR	12.406675	12.852444	99.0	0.0	
IC 328		GX	3.519708	-14.637861	14.59	0.67	
IC 3280		GX	12.407428	13.233444	15.06	0.7	
IC 3281		OTHER	12.407753	7.819139	99.0	0.0	
IC 3282		STAR	12.407792	25.670639	99.0	0.0	
IC 3283		GX	12.407783	27.21125	16.47	0.68	
IC 3284		GX	12.410433	10.839028	15.25	0.55	
IC 3285		STAR	12.409303	24.859667	99.0	0.0	
IC 3286		GX	12.409578	23.747889	16.11	0.49	
IC 3287		GX	12.410267	24.594722	17.6	0.21	
IC 3288		GX	12.410947	24.949861	16.31	0.55	
IC 3289		GX	12.415958	-26.030722	14.17	1.15	
IC 329		GX	3.533714	0.279444	15.14	1.0	
IC 3290		GX	12.419156	-39.7755	13.57	2.22	
IC 3291		GX	12.413447	12.0185	16.46	0.57	
IC 3292		GX	12.413433	18.195111	15.03	1.09	
IC 3293		GX	12.414864	17.432417	16.31	0.69	
IC 3294		GX	12.413814	25.597472	17.28	0.38	
IC 3295		OTHER	12.413606	28.707833	99.0	0.0	
IC 3296		GX	12.416067	24.382861	15.54	0.49	
IC 3297		STAR	12.41615	26.771194	99.0	0.0	
IC 3298		GX	12.417722	17.015333	15.26	1.28	
IC 3299		GX	12.417539	27.374472	17.2	0.6	
IC 33		GX	0.584767	-2.137694	15.29	0.78	
IC 330		GX	3.535564	0.353389	14.98	1.02	
IC 3300		GX	12.41805	25.957556	15.2	1.15	
IC 3301		GX	12.421539	14.172556	16.12	0.52	
IC 3302		GX	12.419564	25.879806	16.98	0.37	
IC 3303		GX	12.420889	12.714611	14.37	0.95	
IC 3304		GX	12.419922	25.424278	18.61	0.24	
IC 3305		GX	12.420694	11.849611	14.9	1.08	
IC 3306		GX	12.420133	27.402361	16.14	0.94	
IC 3308		GX	12.421725	26.715111	14.96	0.58	
IC 3309		GX	12.422258	28.381	15.65	1.0	
IC 331		GX	3.538633	0.282556	14.83	0.91	
IC 3310		STAR	12.432028	15.680528	99.0	0.0	
IC 3311		GX	12.425864	12.260333	14.68	1.85	
IC 3312		GX	12.424972	23.581639	17.05	0.5	
IC 3313		GX	12.426789	15.829833	14.22	1.34	
IC 3314		GX	12.425414	23.591056	16.25	0.53	
IC 3315		GX	12.427481	12.31375	15.9	0.6	
IC 3316		GX	12.426708	26.16325	16.55	0.46	
IC 3317		GX	12.427475	25.343917	17.16	0.52	
IC 3318		STAR	12.430514	9.762806	11.44	0.0	
IC 3319		OTHER	12.430814	10.391	99.0	0.0	
IC 332		GX	3.543728	1.382556	15.32	0.97	
IC 3321		GX	12.429494	26.082528	16.55	0.71	
IC 3322		GX	12.431694	7.554778	14.08	2.33	
IC 3322A		GX	12.428489	7.216667	13.56	3.58	
IC 3323		STAR	12.430022	27.542389	99.0	0.0	
IC 3324		GX	12.430322	26.739889	17.06	0.3	
IC 3325		GX	12.430964	23.895917	15.85	0.71	
IC 3326		GX	12.431319	23.768444	16.66	0.44	
IC 3327		GX	12.434106	14.880361	15.09	0.9	
IC 3328		GX	12.432758	10.053778	14.38	0.88	
IC 3329		EN	12.4322	27.564111	99.0	0.0	
IC 333		OTHER	3.567606	-4.584889	99.0	0.0	
IC 3330		GX	12.432308	30.843583	14.97	1.14	
IC 3331		GX	12.434811	11.812222	15.04	1.02	
IC 3332		GX	12.434775	25.279833	99.0	0.28	
IC 3333		STAR	12.435769	13.132944	14.8	0.0	
IC 3334		GX	12.435981	28.465833	16.22	0.75	
IC 3335		GX	12.438647	26.129306	17.25	0.34	
IC 3336		GX	12.438858	26.838444	15.4	0.64	
IC 3337		GX	12.439297	25.311528	16.93	0.55	
IC 3338		GX	12.439522	25.886222	15.94	0.83	
IC 334		GX	3.754744	76.638306	11.5	2.34	
IC 3340		GX	12.442419	16.844667	15.41	0.7	
IC 3341		GX	12.439775	27.745528	16.69	0.46	
IC 3342		STAR	12.440936	27.138639	99.0	0.0	
IC 3343		STAR	12.443083	8.874278	99.0	0.0	
IC 3344		GX	12.442331	13.578778	14.91	0.8	
IC 3345		GX	12.442594	24.368861	17.19	0.33	
IC 3346		GX	12.445675	11.379722	15.78	0.65	
IC 3347		GX	12.445714	10.918583	16.31	0.55	
IC 3348		GX	12.443919	25.624889	17.3	0.41	
IC 3349		GX	12.446406	12.453972	14.08	0.9	
IC 335		GX	3.591956	-34.447056	12.99	2.62	
IC 3350		STAR	12.446231	9.442611	12.68	0.0	
IC 3351		STAR	12.444719	27.605583	99.0	0.0	
IC 3352		OTHER	12.446611	8.7575	99.0	0.0	
IC 3353		GX	12.445856	27.912333	16.82	0.83	
IC 3354		STAR	12.447628	12.097139	99.0	0.0	
IC 3355		GX	12.447539	13.175722	15.06	1.09	
IC 3356		GX	12.447358	11.559028	15.45	1.47	
IC 3357		GX	12.447597	9.7775	15.36	0.51	
IC 3358		GX	12.448428	11.663972	13.61	1.05	
IC 3359		GX	12.447611	23.498167	16.64	0.51	
IC 336		EN	3.632511	23.363139	99.0	0.0	
IC 3360		STAR	12.447422	26.046639	99.0	0.0	
IC 3361		GX	12.448486	10.665861	15.49	1.02	
IC 3362		GX	12.448447	26.690083	16.15	0.8	
IC 3363		GX	12.450853	12.560806	14.84	0.97	
IC 3364		GX	12.451364	25.56325	16.54	0.59	
IC 3365		GX	12.453106	15.896667	14.29	0.87	
IC 3366		GX	12.453367	9.410194	16.56	0.37	
IC 3367		GX	12.453306	26.95675	99.0	1.5	
IC 3367 NED01		GX	12.452797	26.957417	15.88	0.72	
IC 3368		GX	12.455661	16.428583	15.45	0.71	
IC 3369		GX	12.454706	16.024472	14.03	0.81	
IC 337		OTHER	3.617861	-6.721194	99.0	0.0	
IC 3370		GX	12.460369	-39.337778	11.18	3.12	
IC 3371		GX	12.456181	10.866778	15.27	1.17	
IC 3372		GX	12.456817	25.287222	17.02	0.28	
IC 3373		GX	12.457725	25.453917	16.37	0.68	
IC 3374		GX	12.4593	10.003778	15.4	0.95	
IC 3375		STAR	12.461211	27.36475	99.0	0.0	
IC 3376		GX	12.463983	26.993528	14.32	0.87	
IC 3377		GX	12.464431	24.942167	16.18	0.51	
IC 3378		GX	12.467086	17.296306	16.31	0.54	
IC 3379		GX	12.46785	17.30575	16.05	0.73	
IC 338		GX	3.62725	3.118778	14.94	0.84	
IC 3380		GX	12.468203	26.672861	16.82	0.51	
IC 3381		GX	12.4708	11.789833	13.48	1.19	
IC 3382		GX	12.470428	13.570694	16.3	1.0	
IC 3383		GX	12.470089	10.297667	15.18	0.78	
IC 3384		GX	12.470072	25.091333	19.29	0.68	
IC 3385		GX	12.470819	25.432611	16.47	0.78	
IC 3386		GX	12.473244	13.19575	15.55	0.81	
IC 3387		GX	12.471894	27.995722	16.61	0.35	
IC 3388		GX	12.474461	12.823667	14.8	0.74	
IC 3389		GX	12.4732	27.844944	18.11	0.33	
IC 339		STAR	3.633953	-18.397778	99.0	0.0	
IC 3390		GX	12.474603	24.809333	16.56	0.61	
IC 3391		GX	12.47425	18.415028	13.66	1.03	
IC 3392		GX	12.478683	14.9995	12.99	2.6	
IC 3393		GX	12.478253	12.915917	14.32	1.1	
IC 3394		GX	12.478114	26.798417	15.86	0.59	
IC 3395		GX	12.479028	25.03475	16.43	0.58	
IC 3396		GX	12.479161	25.050222	17.23	0.11	
IC 3397		GX	12.4796	25.731917	15.99	0.61	
IC 3399		STAR	12.482217	25.696083	99.0	0.0	
IC 34		GX	0.59345	9.12425	13.77	2.81	
IC 340		GX	3.658086	-13.115111	14.76	1.61	
IC 3400		STAR	12.484139	9.406167	11.5	0.0	
IC 3401		GX	12.483011	26.460083	17.28	0.41	
IC 3402		GX	12.483144	28.861944	15.16	1.17	
IC 3403		GX	12.483739	24.632667	15.91	0.43	
IC 3404		OTHER	12.486311	7.153944	99.0	0.0	
IC 3405		GX	12.483225	37.730111	16.3	0.71	
IC 3406		GX	12.484064	27.640528	15.64	0.65	
IC 3407		GX	12.484406	27.778861	14.58	0.97	
IC 3408		STAR	12.487719	11.875889	10.87	0.0	
IC 3409		GX	12.489231	14.789306	15.96	0.58	
IC 341		EN	3.682136	21.960194	99.0	134.9	
IC 3410		GX	12.485047	19.004778	15.71	0.69	
IC 3411		GX	12.486775	24.584194	17.22	0.7	
IC 3412		GX	12.489625	9.989028	15.55	0.74	
IC 3413		GX	12.489586	11.433889	14.36	1.21	
IC 3414		GX	12.491328	6.771806	13.97	0.81	
IC 3415		STAR	12.489336	26.766222	99.0	0.0	
IC 3416		GX	12.493044	10.793083	15.38	0.95	
IC 3417		STAR	12.494228	7.861278	99.0	0.0	
IC 3418		GX	12.495533	11.404694	14.29	1.32	
IC 3419		GX	12.495717	15.02475	16.3	0.68	
IC 342		GX	3.780139	68.096361	9.68	19.77	
IC 3420		STAR	12.495156	13.446417	99.0	0.0	
IC 3421		GX	12.494053	26.230611	15.48	0.69	
IC 3422		GX	12.498503	14.688361	16.08	0.58	
IC 3423		STAR	12.496256	13.658778	15.6	0.0	
IC 3424		GX	12.495844	24.408667	17.49	0.41	
IC 3425		GX	12.498997	10.615333	14.57	0.61	
IC 3426		STAR	12.500406	13.598167	14.9	0.0	
IC 3428		STAR	12.502086	23.675028	99.0	0.0	
IC 3429		GX	12.502206	23.545139	16.95	0.38	
IC 343		GX	3.66865	-18.443472	13.2	1.51	
IC 3430		GX	12.504689	9.085111	15.43	1.11	
IC 3431		GX	12.506717	11.614472	16.85	0.47	
IC 3432		GX	12.507733	14.160194	14.78	0.69	
IC 3433		GX	12.507836	17.309722	16.24	0.8	
IC 3434		GX	12.507572	18.809722	15.46	0.76	
IC 3435		GX	12.511078	15.129694	15.2	1.35	
IC 3436		GX	12.508314	19.673028	14.86	0.75	
IC 3437		GX	12.512753	11.343194	15.02	0.61	
IC 3439		GX	12.516519	25.561806	16.29	0.66	
IC 344		GX	3.691536	-4.665861	14.92	0.89	
IC 3440		GX	12.5181	12.029861	16.75	0.6	
IC 3441		GX	12.517894	28.852694	15.11	0.64	
IC 3442		GX	12.522275	14.115194	13.8	0.94	
IC 3443		GX	12.521036	12.331778	15.03	0.55	
IC 3444		STAR	12.520525	27.549639	99.0	0.0	
IC 3445		GX	12.522064	12.738	15.95	0.47	
IC 3446		GX	12.523039	11.492389	15.53	0.62	
IC 3447		GX	12.521639	10.680167	16.69	0.37	
IC 3448		GX	12.523108	17.206417	15.52	0.97	
IC 3449		GX	12.523039	25.914	17.02	0.31	
IC 345		GX	3.685869	-18.314139	14.71	0.88	
IC 3450		GX	12.523561	26.796139	16.4	0.47	
IC 3451		GX	12.523353	28.855194	14.65	0.68	
IC 3453		GX	12.52715	14.859806	14.8	0.95	
IC 3454		GX	12.527403	27.495722	15.59	1.12	
IC 3455		GX	12.529042	25.786083	16.71	0.59	
IC 3456		OTHER	12.528819	28.357167	99.0	0.0	
IC 3457		GX	12.530928	12.657	14.64	1.0	
IC 3458		GX	12.528889	28.147361	15.73	0.67	
IC 3459		GX	12.5322	12.174028	14.91	1.11	
IC 346		GX	3.695739	-18.266972	12.64	1.95	
IC 3460		GX	12.530664	27.386889	16.22	0.62	
IC 3461		GX	12.534094	11.890083	14.51	0.73	
IC 3462		GX	12.535994	15.300944	16.09	0.67	
IC 3463		OTHER	12.534606	12.319417	99.0	0.0	
IC 3464		STAR	12.533389	26.004833	99.0	0.0	
IC 3465		GX	12.536733	12.061556	16.16	0.44	
IC 3466		GX	12.534911	11.817917	15.76	0.65	
IC 3467		GX	12.540158	11.787583	15.4	0.96	
IC 3468		GX	12.537281	10.251472	13.88	1.28	
IC 3469		GX	12.536383	25.802778	17.64	0.34	
IC 347		GX	3.709069	-4.298639	13.99	1.37	
IC 3470		GX	12.539831	11.262972	13.85	0.95	
IC 3471		GX	12.539672	16.018833	15.49	1.0	
IC 3472		GX	12.53855	24.72825	17.1	0.5	
IC 3473		GX	12.538644	18.244139	14.4	1.05	
IC 3474		GX	12.543475	2.661528	14.57	2.26	
IC 3475		GX	12.544739	12.771	13.38	1.56	
IC 3476		GX	12.544967	14.050444	12.84	1.67	
IC 3477		STAR	12.543947	26.038444	99.0	0.0	
IC 3478		GX	12.545611	14.196194	14.37	0.91	
IC 3479		GX	12.544703	25.406111	17.13	0.29	
IC 348	omi Per Cloud	OC	3.742831	32.162833	99.0	10.0	
IC 3480		STAR	12.544858	26.828556	99.0	0.0	
IC 3481		GX	12.54785	11.404389	13.67	0.87	
IC 3482		GX	12.550278	27.830306	16.61	0.43	
IC 3483		GX	12.552794	11.347333	14.18	0.87	
IC 3484		GX	12.551472	17.403	15.01	0.78	
IC 3485		STAR	12.553128	9.217278	99.0	0.0	
IC 3486		GX	12.553892	12.857833	15.15	0.82	
IC 3487		GX	12.553733	9.397361	15.04	0.92	
IC 3488		GX	12.552347	26.349361	15.57	0.64	
IC 3489		GX	12.553806	12.247	14.79	0.65	
IC 349	Barnard's Merope Nebula	RN	3.772253	23.939806	99.0	25.7	
IC 3490		GX	12.553861	10.928528	15.47	0.59	
IC 3491		GX	12.552497	27.094389	16.05	0.83	
IC 3492		GX	12.555494	12.853444	15.3	0.7	
IC 3493		STAR	12.555244	9.393194	99.0	0.0	
IC 3494		GX	12.553808	27.584111	17.14	0.3	
IC 3495		STAR	12.554525	26.808806	99.0	0.0	
IC 3496		STAR	12.555364	26.755444	99.0	0.0	
IC 3497		STAR	12.557928	25.48875	99.0	0.0	
IC 3498		GX	12.558047	26.738056	16.21	0.69	
IC 3499		GX	12.5625	10.995722	13.27	1.61	
IC 35		GX	0.627744	10.357972	14.96	0.9	
IC 350		GX	3.743514	-11.80075	14.95	1.09	
IC 3500		GX	12.563797	13.962778	15.08	0.57	
IC 3501		GX	12.564339	13.322444	14.69	0.93	
IC 3502		GX	12.561758	26.617361	17.44	0.76	
IC 3503		STAR	12.563408	37.789306	99.0	0.0	
IC 3504		STAR	12.568847	6.886361	99.0	0.0	
IC 3505		GX	12.569531	15.968222	15.05	0.85	
IC 3506		GX	12.568539	12.741611	15.93	0.71	
IC 3507		GX	12.567903	25.362833	17.26	0.41	
IC 3508		GX	12.568597	26.670778	15.42	1.03	
IC 3509		GX	12.569869	12.048972	14.25	1.01	
IC 351		PN	3.792503	35.046917	11.9	0.12	
IC 3510		GX	12.570781	11.071528	14.87	0.81	
IC 3511		STAR	12.569303	27.348639	99.0	0.0	
IC 3512		STAR	12.56935	27.361111	99.0	0.0	
IC 3513		STAR	12.569892	27.330556	99.0	0.0	
IC 3514		STAR	12.571053	26.700611	99.0	0.0	
IC 3515		GX	12.571139	27.86225	15.61	0.65	
IC 3516		GX	12.571428	27.452306	16.07	0.87	
IC 3517		GX	12.575211	9.15475	15.3	1.16	
IC 3518		GX	12.575358	9.623444	14.79	1.32	
IC 3519		GX	12.577333	15.602694	15.88	0.68	
IC 352		GX	3.793731	-8.731833	15.65	0.7	
IC 3520		GX	12.575503	13.503667	15.8	0.85	
IC 3521		GX	12.577642	7.160194	13.74	1.39	
IC 3522		GX	12.579328	15.220778	15.41	1.08	
IC 3523		GX	12.577611	14.016778	17.08	0.38	
IC 3524		STAR	12.578639	14.244333	99.0	0.0	
IC 3525		GX	12.579567	10.176694	16.49	0.36	
IC 3526		STAR	12.577947	25.684139	99.0	0.0	
IC 3527		STAR	12.578414	26.155111	99.0	0.0	
IC 3528		GX	12.582194	15.565611	15.2	0.33	
IC 3529		STAR	12.580489	25.698778	99.0	0.0	
IC 353		EN	3.883631	25.848	99.0	181.97	
IC 3530		GX	12.580367	17.814278	14.53	1.75	
IC 3531		GX	12.582372	26.626583	16.55	0.43	
IC 3532		STAR	12.582644	25.880639	99.0	0.0	
IC 3533		GX	12.583689	25.779722	16.01	0.44	
IC 3534		GX	12.581147	14.978167	16.11	0.48	
IC 3535		STAR	12.586361	25.731972	99.0	0.0	
IC 3536		GX	12.586803	26.533417	16.13	0.87	
IC 3537		STAR	12.589572	7.653	99.0	0.0	
IC 3538		STAR	12.587656	26.235528	99.0	0.0	
IC 3539		STAR	12.588914	23.983139	99.0	0.0	
IC 354		EN	3.899419	23.147	99.0	128.82	
IC 3540		GX	12.590897	12.75025	14.58	0.88	
IC 3541		STAR	12.589367	23.97525	99.0	0.0	
IC 3542		GX	12.594775	11.667167	15.65	0.66	
IC 3544		STAR	12.5965	14.300556	99.0	0.0	
IC 3547		STAR	12.596914	26.329111	99.0	0.0	
